date,sku,SK,promo_flag,p10,p50,p90
2025-12-31,74369,СК Столица,0,2802.6986605214815,3159.719847367404,5504.988419500008
2026-01-31,74369,СК Столица,0,2278.9402364905854,2791.5136166560196,5869.202234139098
2026-02-28,74369,СК Столица,0,2848.465449430313,3193.9135342002073,5988.367801986131
2026-03-31,74369,СК Столица,0,6918.306459815413,7438.624222928154,10284.203432713131
2026-04-30,74369,СК Столица,0,4891.775441617123,5109.763952278055,7494.675012512178
2026-05-31,74369,СК Столица,0,893.4208779585274,1216.9199435576315,2692.2224408128363
2026-06-30,74369,СК Столица,0,5492.447359115262,5986.420551273527,6609.171871166236
2026-07-31,74369,СК Столица,0,4919.719202452158,5262.039048228212,6838.517623139571
2025-08-31,74370,СК Столица,0,1263.0424285502786,1305.3153972348905,2658.119692556585
2025-09-30,74370,СК Столица,0,1714.100025559719,1916.6600520346296,3169.0355214500537
2025-10-31,74370,СК Столица,0,2035.5774382244283,2120.62088286889,4053.3443894582415
2025-11-30,74370,СК Столица,0,844.5803578918576,852.5201380425297,2710.6353203454046
2025-12-31,74370,СК Столица,0,474.60720477799777,615.4909372713504,1193.3332286571408
2026-01-31,74370,СК Столица,0,313.4264475837536,475.39259254770985,890.7256174385014
2026-02-28,74370,СК Столица,0,237.0221780565232,259.38283092926235,897.0268222463912
2026-03-31,74370,СК Столица,0,26.73310910283831,85.47593847089577,226.83711419884716
2026-04-30,74370,СК Столица,0,2.649357196914299,65.7397876391004,106.59668640213556
2026-05-31,74370,СК Столица,0,0.0,0.0,407.4077161226808
2026-06-30,74370,СК Столица,0,676.0519901987531,681.5404472681546,1479.824417661583
2026-07-31,74370,СК Столица,0,644.5716874181226,675.6311879897663,1320.9355754712435
2025-08-31,74376,СК Столица,0,284.86164075087197,484.2963791135056,1560.0605256685842
2025-09-30,74376,СК Столица,0,1441.6065812173858,1453.6844235933393,2246.4169128299895
2025-10-31,74376,СК Столица,0,1068.6308966398071,1113.953895243253,1667.828021988625
2025-11-30,74376,СК Столица,0,175.0021440924035,243.14097856646808,821.7200424996686
2025-12-31,74376,СК Столица,0,0.0,0.0,81.20387049706576
2026-01-31,74376,СК Столица,0,28.7106471379202,66.25300798165111,529.9883785146586
2026-02-28,74376,СК Столица,0,65.26054879449089,152.68634814413926,1018.1617995851418
2026-03-31,74376,СК Столица,0,760.8493758621614,774.4179209809031,1736.927753235494
2026-04-30,74376,СК Столица,0,334.26151706961,433.31629741616126,1304.1365493187905
2026-05-31,74376,СК Столица,0,336.84439193219475,509.8640452588806,1529.8484452885102
2026-06-30,74376,СК Столица,0,718.7722216868534,962.2022058793376,1643.611724492191
2026-07-31,74376,СК Столица,0,263.97782144327584,397.83396861445885,942.7163659861158
2025-08-31,74382,СК Столица,0,79.3587570081525,279.0532045310096,1135.9478747690248
2025-09-30,74382,СК Столица,0,819.3114917310645,932.1006578295048,1074.1083080656808
2025-10-31,74382,СК Столица,0,654.3451732286562,783.2377146383568,1650.7194944151474
2025-11-30,74382,СК Столица,0,94.49478114034537,204.33955065679436,706.8910647983556
