sku,category,SK,date,qty,oos_flag,promo_flag
73754,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2020-07-01,31,1.0,0
73754,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2020-08-01,35,1.0,0
73754,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2020-09-01,0,1.0,0
73754,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2020-10-01,8,0.0909090909090909,0
73754,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2020-11-01,0,0.0,0
73754,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2020-12-01,0,0.0,0
73754,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2021-01-01,0,0.0,0
73754,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2021-02-01,0,0.0,0
73754,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2021-03-01,0,0.0,0
73754,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2021-04-01,0,0.0,0
73754,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2021-05-01,0,0.0,0
73754,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2021-06-01,0,0.0,0
73754,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2021-07-01,0,0.0,0
73754,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2021-08-01,0,0.0,0
73754,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2021-09-01,0,0.0,0
73754,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2021-10-01,43,0.809523809523809,0
73754,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2021-11-01,88,1.0,0
73754,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2021-12-01,82,1.0,0
73754,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2022-01-01,0,1.0,0
73754,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2022-02-01,30,1.0,0
73754,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2022-03-01,5,1.0,0
73754,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2022-04-01,1,1.0,0
73754,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2022-05-01,31,1.0,0
73754,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2022-06-01,1,1.0,0
73754,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2022-07-01,13,1.0,0
73754,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2022-08-01,32,1.0,0
73754,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2022-09-01,83,1.0,0
73754,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2022-10-01,47,0.714285714285714,0
73754,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2022-11-01,0,0.0,0
73754,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2022-12-01,20,0.772727272727273,0
73754,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2023-01-01,60,1.0,0
73754,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2023-02-01,295,1.0,0
73754,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2023-03-01,210,1.0,0
73754,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2023-04-01,40,1.0,0
73754,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2023-05-01,90,1.0,0
73754,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2023-06-01,155,1.0,0
73754,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2023-07-01,60,1.0,0
73754,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2023-08-01,302,0.956521739130435,0
73754,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2023-09-01,90,0.4,0
73754,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2023-10-01,305,1.0,0
73754,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2023-11-01,30,1.0,0
73754,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2023-12-01,666,0.952380952380952,0
73754,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2024-01-01,10,1.0,0
73754,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2024-02-01,228,1.0,0
73754,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2024-03-01,171,0.95,0
73754,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2024-04-01,37,0.523809523809524,0
73754,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2024-05-01,200,0.9,0
73754,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2024-06-01,137,1.0,0
73754,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2024-07-01,399,1.0,0
73754,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2024-08-01,180,1.0,0
73754,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2024-09-01,722,1.0,0
73754,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2024-10-01,520,1.0,0
73754,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2024-11-01,62,1.0,0
73754,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2024-12-01,45,1.0,0
73754,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2025-01-01,23,1.0,0
73754,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2025-02-01,190,1.0,0
