"date","sku","category","qty","promo_flag","oos_flag","comp_price_index","comp_qty_index","comp_promo_flag"
2023-10-31,"14009","140-Воротки",8.000000000000,0,1,1,1,0
2023-10-31,"14010","140-Воротки",19.000000000000,0,1,1,1,0
2023-10-31,"14013","140-Воротки",23.000000000000,0,1,1,1,0
2023-10-31,"14015","140-Воротки",71.000000000000,0,1,1,1,0
2023-10-31,"140205","140-Воротки",1.000000000000,0,1,1,1,0
2023-10-31,"14025","140-Воротки",127.000000000000,0,1,1,1,0
2023-10-31,"14026","140-Воротки",1.000000000000,0,1,1,1,0
2023-10-31,"14027","140-Воротки",79.000000000000,0,1,1,1,0
2023-10-31,"14028","140-Воротки",69.000000000000,0,1,1,1,0
2023-10-31,"14029","140-Воротки",28.000000000000,0,1,1,1,0
2023-10-31,"14030","140-Воротки",25.000000000000,0,1,1,1,0
2023-10-31,"140405","140-Воротки",8.000000000000,0,1,1,1,0
